Date,Open,High,Low,Close,Adj Close,Volume
11-Jan-23,90.93,95.26,90.93,95.09,95.09,"103,126,200"
10-Jan-23,87.57,90.19,87.29,89.87,89.87,"67,756,600"
09-Jan-23,87.46,89.48,87.08,87.36,87.36,"65,266,100"
06-Jan-23,83.03,86.4,81.43,86.08,86.08,"83,303,400"
05-Jan-23,85.33,85.42,83.07,83.12,83.12,"67,930,800"
04-Jan-23,86.55,86.98,83.36,85.14,85.14,"68,885,100"
03-Jan-23,85.46,86.96,84.21,85.82,85.82,"76,706,000"
30-Dec-22,83.12,84.05,82.47,84,84,"62,401,200"
29-Dec-22,82.87,84.55,82.55,84.18,84.18,"54,995,900"
28-Dec-22,82.8,83.48,81.69,81.82,81.82,"58,228,600"
27-Dec-22,84.97,85.35,83,83.04,83.04,"57,284,000"
23-Dec-22,83.25,85.78,82.93,85.25,85.25,"57,433,700"
22-Dec-22,85.52,85.68,82.25,83.79,83.79,"81,431,300"
21-Dec-22,86.18,87.23,85.21,86.77,86.77,"59,267,200"
20-Dec-22,85.33,86.61,84.33,85.19,85.19,"74,348,300"
19-Dec-22,87.51,87.63,84.51,84.92,84.92,"83,531,500"
16-Dec-22,88.27,89.35,86.73,87.86,87.86,"146,144,100"
15-Dec-22,89.89,89.97,87.47,88.45,88.45,"84,802,900"
14-Dec-22,92.5,93.46,89.87,91.58,91.58,"70,298,000"
13-Dec-22,95.23,96.25,90.52,92.49,92.49,"100,212,000"
12-Dec-22,89.21,90.58,87.87,90.55,90.55,"61,999,800"
09-Dec-22,88.9,90.3,88.63,89.09,89.09,"67,398,500"
08-Dec-22,89.24,90.86,87.88,90.35,90.35,"73,305,900"
07-Dec-22,88.34,89.89,87.48,88.46,88.46,"68,086,900"
06-Dec-22,90.5,91.04,87.9,88.25,88.25,"75,503,600"
